block_id,time,Time_block_type
One_195_TH_1315,"[(“13:15”,""16:30"",""Thursday"")]",One_195
One_195_F_1315,"[(“13:15”,""16:30"",""Friday"")]",One_195
One_225_M_1315,"[(“13:15”,""17:00"",""Monday"")]",One_225
One_225_T_1315,"[(“13:15”,""17:00"",""Tuesday"")]",One_225
One_225_W_1315,"[(“13:15”,""17:00"",""Wednesday"")]",One_225
One_225_TH_1315,"[(“13:15”,""17:00"",""Thursday"")]",One_225
One_225_F_1315,"[(“13:15”,""17:00"",""Friday"")]",One_225
One_240_M_1315,"[(“13:15”,”17:15"",""Monday"")]",One_240
One_240_T_1315,"[(“13:15”,""17:15"",""Tuesday"")]",One_240
One_240_W_1315,"[(“13:15”,""17:15"",""Wednesday"")]",One_240
One_240_TH_1315,"[(“13:15”,""17:15"",""Thursday"")]",One_240
One_240_F_1315,"[(“13:15”,""17:15"",""Friday"")]",One_240
Two_50_MW_830,"[(""08:30"",""09:20"",""Monday""), (""08:30"",""09:20"",""Wednesday"")]",Two_50
Two_50_MW_930,"[(""09:30"",""10:20"",""Monday""), (""09:30"",""10:20"",""Wednesday"")]",Two_50
Two_50_MW_1030,"[(""10:30"",""11:20"",""Monday""), (""10:30"",""11:20"",""Wednesday"")]",Two_50
Two_50_MW_1130,"[(""11:30"",""12:20"",""Monday""), (""11:30"",""12:20"",""Wednesday"")]",Two_50
Two_50_MF_830,"[(""08:30"",""09:20"",""Monday""), (“08:30"",""09:20"",""Friday"")]",Two_50
Two_50_MF_930,"[(""09:30"",""10:20"",""Monday""), (“09:30"",""10:20"",""Friday"")]",Two_50
Two_50_MF_1030,"[(""10:30"",""11:20"",""Monday""), (“10:30"",""11:20"",""Friday"")]",Two_50
Two_50_MF_1130,"[(""11:30"",""12:20"",""Monday""), (“11:30"",""12:20"",""Friday"")]",Two_50
